Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points),Result
mousesports,16,Virtus.pro,5,cbl,51.1,305,72,win
NiP,16,Cloud9,4,ovp,57,354,85,win
Virtus.pro,11,mousesports,16,trn,52.1,72,305,loss
G2,22,Gambit,19,ovp,51.8,67,305,win
FaZe,16,Renegades,13,trn,57.5,444,105,win
Liquid,19,Gambit,16,mrg,56.7,510,105,win
G2,9,Renegades,16,cbl,55.7,67,105,loss
Liquid,19,Renegades,17,cch,66.9,510,105,win
OpTic,3,FaZe,16,ovp,59.3,151,444,loss
G2,14,FaZe,16,ovp,51.8,67,444,loss
OpTic,16,Gambit,7,trn,52.1,151,444,win
Envy,11,Astralis,16,inf,,151,1000,loss
Cloud9,16,Astralis,6,trn,67.6,85,1000,win
NiP,13,SK,16,cbl,57.8,354,1000,loss
Envy,20,SK,22,cbl,,354,1000,loss
NiP,16,Astralis,11,ovp,57,354,1000,win
Virtus.pro,4,Heroic,16,inf,47.3,72,110,loss
Heroic,16,Virtus.pro,14,nuke,66.3,110,72,win
Renegades,16,Cloud9,14,mrg,52.4,105,85,win
Renegades,12,Liquid,16,trn,53.8,105,510,loss
Liquid,4,Renegades,16,cbl,64,510,105,loss
Natus Vincere,22,FaZe,19,nuke,46.7,569,444,win
fnatic,16,G2,11,inf,67.2,197,67,win
Envy,16,NiP,12,cbl,,197,354,win
Astralis,12,mousesports,16,inf,72.5,1000,305,loss
BIG,9,North,16,ovp,54.2,262,226,loss
NiP,19,Envy,15,trn,68.3,354,226,win
mousesports,5,Astralis,16,nuke,57.4,305,1000,loss
FaZe,16,Natus Vincere,6,ovp,61.2,444,569,win
North,16,BIG,8,cbl,60.9,226,262,win
G2,9,fnatic,16,cbl,55.7,67,197,loss
G2,12,FaZe,16,cch,55.9,67,444,loss
FaZe,16,G2,14,mrg,62.8,444,67,win
Renegades,16,CLG,3,cbl,56.9,105,67,win
CLG,12,Renegades,16,mrg,,105,105,loss
Heroic,8,mousesports,16,nuke,66.3,110,305,loss
mousesports,16,Heroic,13,mrg,61.8,305,110,win
Natus Vincere,16,BIG,12,ovp,64.3,569,262,win
Gambit,12,Virtus.pro,16,cch,,569,72,loss
BIG,11,Natus Vincere,16,trn,53.7,262,569,loss
Heroic,11,North,16,trn,49.6,110,226,loss
Envy,9,Astralis,16,nuke,,110,1000,loss
North,12,Heroic,16,ovp,57.8,226,110,loss
Astralis,6,Envy,16,trn,63.6,1000,110,loss
Heroic,9,NiP,16,nuke,66.3,110,354,loss
Gambit,16,Space Soldiers,13,mrg,,110,354,win
Astralis,13,FaZe,16,inf,72.5,1000,444,loss
NiP,25,Heroic,21,ovp,57,354,110,win
FaZe,10,Astralis,16,mrg,62.8,444,1000,loss
fnatic,14,mousesports,16,inf,67.2,197,305,loss
mousesports,14,fnatic,16,mrg,61.8,305,197,loss
Astralis,19,Natus Vincere,15,inf,72.5,1000,569,win
fnatic,16,FaZe,12,cch,62.6,197,444,win
FaZe,7,fnatic,16,mrg,62.8,444,197,loss
Natus Vincere,4,Astralis,16,nuke,46.7,569,1000,loss
G2,16,Astralis,11,nuke,61.2,67,1000,win
Astralis,12,G2,16,ovp,66.7,1000,67,loss
Cloud9,13,Liquid,16,mrg,62.4,85,510,loss
Liquid,2,Cloud9,16,cbl,64,510,85,loss
Heroic,6,Astralis,16,inf,44,110,1000,loss
Astralis,16,Heroic,3,trn,63.6,1000,110,win
BIG,13,Envy,16,cch,54,262,110,loss
Envy,16,BIG,4,trn,,262,262,win
NiP,16,G2,5,ovp,57,354,67,win
G2,8,NiP,16,cbl,55.7,67,354,loss
mousesports,25,Astralis,22,mrg,61.8,305,1000,win
Astralis,16,mousesports,14,inf,72.5,1000,305,win
G2,16,fnatic,13,cbl,55.7,67,197,win
fnatic,16,G2,12,inf,67.2,197,67,win
Cloud9,16,SK,2,mrg,62.4,85,67,win
SK,14,Cloud9,16,cbl,,85,85,loss
Astralis,16,fnatic,10,mrg,69.1,1000,197,win
fnatic,16,Astralis,8,trn,58,197,1000,win
mousesports,9,G2,16,inf,48.8,305,67,loss
G2,14,mousesports,16,cbl,55.7,67,305,loss
fnatic,13,FaZe,16,trn,58,197,444,loss
FaZe,14,fnatic,16,mrg,62.8,444,197,loss
Envy,8,NiP,16,trn,,444,354,loss
NiP,11,Envy,16,cch,60.1,354,354,loss
NiP,16,mousesports,13,cch,60.1,354,305,win
mousesports,16,NiP,8,mrg,61.8,305,354,win
Cloud9,16,CLG,14,inf,53.4,85,354,win
CLG,8,Cloud9,16,cbl,,85,85,loss
Envy,4,G2,16,cch,,85,67,loss
G2,16,Envy,2,cbl,55.7,67,67,win
fnatic,16,NiP,9,mrg,61.4,197,354,win
NiP,14,fnatic,16,ovp,57,354,197,loss
FaZe,7,Envy,16,trn,57.5,444,197,loss
Envy,16,FaZe,19,cch,,444,444,loss
SK,15,Liquid,19,trn,,444,510,loss
Liquid,16,SK,4,inf,63.7,510,510,win
mousesports,4,FaZe,16,cch,60.5,305,444,loss
FaZe,12,mousesports,16,inf,62.3,444,305,loss
fnatic,16,Envy,11,inf,67.2,197,305,win
Envy,5,fnatic,16,trn,,197,197,loss
Heroic,13,G2,16,inf,44,110,67,loss
G2,16,Heroic,8,nuke,61.2,67,110,win
NiP,12,FaZe,16,trn,68.3,354,444,loss
FaZe,16,NiP,8,mrg,62.8,444,354,win
Virtus.pro,7,Astralis,16,trn,52.1,72,1000,loss
Astralis,16,Virtus.pro,8,mrg,69.1,1000,72,win
Liquid,16,Renegades,14,cbl,64,510,105,win
mousesports,10,BIG,16,trn,54.6,305,262,loss
Cloud9,16,Renegades,1,trn,67.6,85,105,win
CLG,14,Renegades,16,cbl,,85,105,loss
fnatic,16,Heroic,14,mrg,61.4,197,110,win
Heroic,4,fnatic,16,trn,49.6,110,197,loss
Envy,14,Astralis,16,inf,,110,1000,loss
Astralis,16,Envy,11,trn,63.6,1000,1000,win
Envy,10,Heroic,16,inf,,1000,110,loss
Heroic,9,Envy,16,nuke,66.3,110,110,loss
Astralis,10,HellRaisers,16,ovp,66.7,1000,161,loss
HellRaisers,10,Astralis,16,mrg,50,161,1000,loss
Renegades,16,Cloud9,11,cbl,56.9,105,85,win
Cloud9,16,Renegades,7,mrg,62.4,85,105,win
North,17,Natus Vincere,19,nuke,58.3,226,569,loss
BIG,12,G2,16,ovp,54.2,262,67,loss
G2,14,BIG,16,cbl,55.7,67,262,loss
Natus Vincere,8,North,16,ovp,64.3,569,226,loss
North,19,fnatic,16,cbl,60.9,226,197,win
Heroic,14,G2,16,nuke,66.3,110,67,loss
fnatic,17,North,19,mrg,61.4,197,226,loss
G2,16,Heroic,10,inf,50.8,67,110,win
BIG,7,NiP,16,cch,54,262,354,loss
NiP,16,BIG,4,mrg,55.7,354,262,win
Renegades,16,SK,14,cch,62.5,105,262,win
SK,16,Renegades,14,cbl,,105,105,win
CLG,10,Liquid,16,mrg,,105,510,loss
Liquid,16,CLG,14,inf,63.7,510,510,win
Virtus.pro,10,G2,16,cch,52.2,72,67,loss
G2,8,Virtus.pro,16,inf,50.8,67,72,loss
CLG,11,SK,16,inf,,67,72,loss
SK,16,CLG,11,mrg,,67,72,win
Envy,16,Heroic,8,nuke,,67,110,win
NiP,10,Heroic,16,inf,60.3,354,110,loss
HellRaisers,14,Space Soldiers,16,cbl,56.2,161,110,loss
mousesports,16,Envy,10,cbl,51.1,305,110,win
Heroic,4,NiP,16,inf,44,110,354,loss
Envy,16,mousesports,11,cch,,110,305,win
NiP,16,Heroic,14,ovp,57,354,110,win
FaZe,12,Heroic,16,ovp,61.2,444,110,loss
Heroic,4,FaZe,16,inf,44,110,444,loss
Renegades,13,SK,16,cbl,56.9,105,444,loss
SK,16,Renegades,7,mrg,,105,105,win
Astralis,8,fnatic,16,trn,63.6,1000,197,loss
fnatic,16,Astralis,4,mrg,61.4,197,1000,win
Natus Vincere,11,mousesports,16,inf,53.7,569,305,loss
Virtus.pro,4,Envy,16,inf,47.3,72,305,loss
mousesports,16,Natus Vincere,12,cbl,51.1,305,569,win
Envy,14,Virtus.pro,16,nuke,,305,72,loss
Astralis,19,FaZe,15,ovp,66.7,1000,444,win
mousesports,13,Heroic,16,mrg,61.8,305,110,loss
FaZe,16,Astralis,14,mrg,62.8,444,1000,win
Heroic,12,mousesports,16,nuke,66.3,110,305,loss
HellRaisers,17,fnatic,19,inf,54.8,161,197,loss
Natus Vincere,14,G2,16,nuke,46.7,569,67,loss
Heroic,4,FaZe,16,inf,44,110,444,loss
G2,19,Natus Vincere,16,ovp,51.8,67,569,win
fnatic,10,HellRaisers,16,mrg,61.4,197,161,loss
FaZe,16,Heroic,7,ovp,61.2,444,110,win
mousesports,6,NiP,16,nuke,57.4,305,354,loss
NiP,2,mousesports,16,inf,60.3,354,305,loss
HellRaisers,16,FaZe,12,cch,60,161,444,win
Astralis,16,North,10,inf,72.5,1000,226,win
North,10,Astralis,16,mrg,59.3,226,1000,loss
FaZe,10,HellRaisers,16,inf,62.3,444,161,loss
Cloud9,9,SK,16,mrg,62.4,85,161,loss
SK,16,Cloud9,11,cbl,,85,85,win
North,4,FaZe,16,inf,57,226,444,loss
FaZe,12,North,16,mrg,62.8,444,226,loss
BIG,6,Astralis,16,inf,55.1,262,1000,loss
Astralis,16,BIG,19,ovp,66.7,1000,262,loss
BIG,7,mousesports,16,trn,53.7,262,305,loss
NiP,16,fnatic,4,cch,60.1,354,197,win
mousesports,22,BIG,20,cbl,51.1,305,262,win
fnatic,17,NiP,19,mrg,61.4,197,354,loss
Envy,16,G2,13,inf,,197,67,win
G2,9,Envy,16,cbl,55.7,67,67,loss
Astralis,16,Heroic,2,trn,63.6,1000,110,win
SK,5,Heroic,16,trn,,1000,110,loss
Astralis,16,Liquid,11,ovp,66.7,1000,510,win
FaZe,16,NiP,7,mrg,62.8,444,354,win
NiP,16,FaZe,6,cbl,57.8,354,444,win
NiP,16,G2,13,ovp,57,354,67,win
G2,14,NiP,16,nuke,61.2,67,354,loss
Envy,16,Natus Vincere,14,cbl,,67,569,win
fnatic,16,mousesports,10,cch,62.6,197,305,win
Natus Vincere,16,Envy,5,trn,64.8,569,305,win
mousesports,1,fnatic,16,trn,54.6,305,197,loss
SK,16,CLG,7,ovp,,305,197,win
CLG,16,SK,3,cch,,305,197,win
Heroic,16,fnatic,19,inf,44,110,197,loss
mousesports,14,North,16,mrg,61.8,305,226,loss
fnatic,16,Heroic,13,mrg,61.4,197,110,win
North,16,mousesports,12,cbl,60.9,226,305,win
Natus Vincere,13,HellRaisers,16,inf,53.7,569,161,loss
HellRaisers,16,Natus Vincere,5,ovp,55.6,161,569,win
Envy,2,Cloud9,16,trn,,161,85,loss
Cloud9,16,NiP,6,mrg,62.4,85,354,win
Virtus.pro,6,Envy,16,cbl,57.3,72,354,loss
Immortals,20,North,22,cbl,,72,226,loss
North,16,fnatic,14,mrg,59.3,226,197,win
mousesports,8,Immortals,16,cbl,51.1,305,197,loss
FaZe,16,Astralis,6,inf,62.3,444,1000,win
SK,16,Cloud9,5,trn,,444,85,win
Cloud9,16,Natus Vincere,13,inf,53.4,85,569,win
Astralis,16,Liquid,13,mrg,69.1,1000,510,win
SK,16,Envy,12,cbl,,1000,510,win
FaZe,16,Virtus.pro,5,cch,54.6,444,72,win
Heroic,1,BIG,16,ovp,53.9,110,262,loss
BIG,19,Heroic,15,trn,53.7,262,110,win
FaZe,16,Natus Vincere,6,inf,62.3,444,569,win
Cloud9,13,Immortals,16,cch,61.6,85,569,loss
G2,10,Natus Vincere,16,inf,50.8,67,569,loss
FaZe,16,Renegades,9,mrg,62.8,444,105,win
Gambit,12,SK,16,ovp,,444,105,loss
fnatic,16,Envy,9,cch,62.6,197,105,win
Envy,10,fnatic,16,cbl,,197,197,loss
SK,19,mousesports,15,inf,,197,305,win
NiP,16,HellRaisers,6,trn,68.3,354,161,win
Gambit,16,Heroic,7,mrg,,354,110,win
HellRaisers,5,NiP,16,inf,54.8,161,354,loss
Liquid,10,Virtus.pro,16,mrg,56.7,510,72,loss
Virtus.pro,16,Envy,6,trn,52.1,72,72,win
Liquid,16,BIG,14,ovp,56.5,510,262,win
Cloud9,16,Immortals,3,trn,67.6,85,262,win
Immortals,16,Cloud9,5,inf,,85,85,win
North,16,HellRaisers,9,cbl,60.9,226,161,win
HellRaisers,16,North,9,ovp,55.6,161,226,win
NiP,14,Astralis,16,nuke,77.2,354,1000,loss
Astralis,16,NiP,6,inf,72.5,1000,354,win
mousesports,16,HellRaisers,4,mrg,61.8,305,161,win
Heroic,16,Envy,9,inf,44,110,161,win
mousesports,9,FaZe,16,mrg,61.8,305,444,loss
fnatic,16,Envy,13,cbl,65.2,197,444,win
G2,16,Envy,13,inf,50.8,67,444,win
FaZe,8,NiP,16,nuke,62.8,444,354,loss
Gambit,16,mousesports,6,trn,,444,305,win
Immortals,16,fnatic,14,cbl,,444,197,win
Cloud9,10,North,16,inf,53.4,85,226,loss
Virtus.pro,4,Natus Vincere,16,inf,47.3,72,569,loss
NiP,16,Natus Vincere,13,mrg,55.7,354,569,win
Natus Vincere,16,NiP,9,trn,64.8,569,354,win
mousesports,25,G2,22,cch,60.5,305,67,win
G2,16,mousesports,7,cbl,55.7,67,305,win
NiP,12,North,16,inf,60.3,354,226,loss
North,16,NiP,5,nuke,58.3,226,354,win
fnatic,5,Natus Vincere,16,mrg,61.4,197,569,loss
Natus Vincere,9,fnatic,16,ovp,64.3,569,197,loss
Heroic,16,Natus Vincere,14,inf,44,110,569,win
Envy,13,North,16,cbl,,110,226,loss
Natus Vincere,10,Heroic,16,ovp,64.3,569,110,loss
North,16,Envy,6,nuke,58.3,226,110,win
FaZe,16,Envy,7,nuke,62.8,444,110,win
Envy,12,FaZe,16,trn,,444,444,loss
PENTA,5,FlipSid3,16,trn,,444,444,loss
SK,16,Immortals,12,trn,,444,444,win
Immortals,16,SK,8,cbl,,444,444,win
FaZe,10,BIG,16,trn,57.5,444,262,loss
Heroic,12,Astralis,16,inf,44,110,1000,loss
BIG,8,FaZe,16,ovp,54.2,262,444,loss
Astralis,16,Heroic,6,ovp,66.7,1000,110,win
HellRaisers,16,Envy,19,cch,60,161,110,loss
North,16,G2,7,cbl,60.9,226,67,win
Envy,16,HellRaisers,14,cbl,,226,161,win
G2,16,North,9,nuke,61.2,67,226,win
FaZe,16,mousesports,14,mrg,62.8,444,305,win
mousesports,16,FaZe,9,cch,60.5,305,444,win
HellRaisers,11,BIG,16,cbl,56.2,161,262,loss
Astralis,6,G2,16,inf,72.5,1000,67,loss
G2,16,Astralis,9,ovp,51.8,67,1000,win
BIG,7,HellRaisers,16,cch,54,262,161,loss
Liquid,3,SK,16,cbl,64,510,161,loss
SK,12,Liquid,16,trn,,510,510,loss
fnatic,16,BIG,11,cbl,65.2,197,262,win
BIG,9,fnatic,16,trn,53.7,262,197,loss
Heroic,16,HellRaisers,14,ovp,53.9,110,161,win
FaZe,16,G2,12,ovp,61.2,444,67,win
HellRaisers,8,Heroic,16,mrg,50,161,110,loss
G2,3,FaZe,16,cch,55.9,67,444,loss
Envy,11,HellRaisers,16,cbl,,67,161,loss
Envy,9,Heroic,16,inf,,67,110,loss
Virtus.pro,16,Cloud9,10,trn,52.1,72,85,win
fnatic,16,G2,10,ovp,54.8,197,67,win
SK,16,Immortals,9,ovp,,197,67,win
North,16,Virtus.pro,14,mrg,59.3,226,72,win
G2,6,Astralis,16,inf,50.8,67,1000,loss
Natus Vincere,12,fnatic,16,mrg,63.3,569,197,loss
mousesports,11,Cloud9,16,trn,54.6,305,85,loss
SK,14,BIG,16,inf,,305,262,loss
Gambit,16,Virtus.pro,11,trn,,305,72,win
fnatic,14,Astralis,16,nuke,74.1,197,1000,loss
G2,19,Cloud9,17,cbl,55.7,67,85,win
Natus Vincere,10,Immortals,16,ovp,64.3,569,85,loss
mousesports,15,North,19,cbl,51.1,305,226,loss
Virtus.pro,16,fnatic,11,cch,52.2,72,197,win
SK,16,Astralis,8,inf,,72,1000,win
Gambit,16,G2,6,cch,,72,67,win
BIG,16,Cloud9,11,inf,55.1,262,85,win
mousesports,19,FaZe,15,trn,54.6,305,444,win
Astralis,19,Immortals,17,ovp,66.7,1000,444,win
Natus Vincere,14,G2,16,ovp,64.3,569,67,loss
North,12,Cloud9,16,mrg,59.3,226,85,loss
FaZe,8,BIG,16,inf,62.3,444,262,loss
SK,16,PENTA,13,inf,,444,262,win
Gambit,16,mousesports,10,inf,,444,305,win
CLG,10,NiP,16,ovp,,444,354,loss
North,7,FaZe,16,inf,57,226,444,loss
Cloud9,22,mousesports,20,inf,53.4,85,305,win
fnatic,6,SK,16,mrg,61.4,197,305,loss
FaZe,10,OpTic,16,trn,57.5,444,151,loss
SK,11,G2,16,inf,,444,67,loss
Natus Vincere,16,mousesports,4,mrg,63.3,569,305,win
Cloud9,16,Immortals,11,trn,67.6,85,305,win
Liquid,16,OpTic,5,cbl,64,510,151,win
NiP,16,mousesports,10,cch,60.1,354,305,win
fnatic,12,FaZe,16,ovp,54.8,197,444,loss
Immortals,7,G2,16,cbl,,197,67,loss
North,10,SK,16,cch,52.4,226,67,loss
G2,6,NiP,16,cch,55.9,67,354,loss
Immortals,15,Liquid,19,trn,,67,510,loss
mousesports,16,FaZe,12,nuke,57.4,305,444,win
Cloud9,32,Natus Vincere,34,trn,67.6,85,569,loss
SK,16,Virtus.pro,9,mrg,,85,72,win
Natus Vincere,7,Liquid,16,inf,53.7,569,510,loss
North,9,OpTic,16,cbl,60.9,226,151,loss
NiP,16,Cloud9,12,cch,60.1,354,85,win
Immortals,16,Virtus.pro,12,cbl,,354,72,win
mousesports,16,fnatic,11,trn,54.6,305,197,win
HellRaisers,13,Immortals,16,ovp,55.6,161,197,loss
BIG,16,Liquid,10,trn,53.7,262,510,win
Liquid,16,HellRaisers,2,trn,56.1,510,161,win
PENTA,14,mousesports,16,cbl,,510,305,loss
BIG,16,Immortals,9,cch,54,262,305,win
G2,16,Cloud9,11,cch,55.9,67,85,win
Liquid,3,PENTA,16,mrg,56.7,510,85,loss
BIG,10,Cloud9,16,cbl,57.9,262,85,loss
OpTic,14,PENTA,16,trn,52.1,151,85,loss
G2,22,Immortals,20,inf,50.8,67,85,win
Cloud9,19,Astralis,15,mrg,62.4,85,1000,win
Liquid,11,Astralis,16,inf,63.7,510,1000,loss
Cloud9,16,fnatic,8,trn,67.6,85,197,win
FaZe,8,SK,16,trn,57.5,444,197,loss
G2,7,SK,16,cch,55.9,67,197,loss
FaZe,16,OpTic,9,ovp,61.2,444,151,win
CLG,31,fnatic,28,trn,,444,197,win
SK,10,Immortals,16,cch,,444,197,loss
fnatic,16,Cloud9,12,mrg,61.4,197,85,win
mousesports,6,Immortals,16,cbl,51.1,305,85,loss
Gambit,16,CLG,19,ovp,,305,85,loss
Cloud9,16,CLG,12,mrg,62.4,85,85,win
Virtus.pro,14,G2,16,trn,52.1,72,67,loss
G2,16,Virtus.pro,10,ovp,51.8,67,72,win
mousesports,6,FaZe,16,cch,60.5,305,444,loss
FaZe,11,mousesports,16,mrg,62.8,444,305,loss
NiP,16,G2,11,trn,68.3,354,67,win
G2,16,NiP,12,cch,55.9,67,354,win
Renegades,13,CLG,16,cbl,56.9,105,354,loss
CLG,16,Renegades,13,cch,,105,105,win
Liquid,16,North,10,cbl,64,510,226,win
OpTic,16,Natus Vincere,8,cbl,55.2,151,569,win
mousesports,16,Liquid,12,inf,48.8,305,510,win
North,16,OpTic,14,mrg,59.3,226,151,win
mousesports,16,OpTic,12,cbl,51.1,305,151,win
fnatic,11,G2,16,ovp,54.8,197,67,loss
Immortals,16,Cloud9,8,mrg,,197,85,win
G2,16,SK,6,cbl,55.7,67,85,win
G2,10,Immortals,16,ovp,51.8,67,85,loss
fnatic,16,Cloud9,6,nuke,74.1,197,85,win
North,16,Natus Vincere,13,mrg,59.3,226,569,win
Liquid,16,OpTic,5,nuke,39.6,510,151,win
mousesports,19,Natus Vincere,15,cbl,51.1,305,569,win
mousesports,17,North,19,nuke,57.4,305,226,loss
Liquid,4,Natus Vincere,16,trn,56.1,510,569,loss
fnatic,3,SK,16,cch,62.6,197,569,loss
SK,16,Immortals,5,mrg,,197,569,win
G2,4,Cloud9,16,inf,50.8,67,85,loss
SK,16,Cloud9,7,cbl,,67,85,win
Immortals,9,SK,16,cbl,,67,85,loss
SK,16,Immortals,19,ovp,,67,85,loss
Cloud9,13,Liquid,16,mrg,62.4,85,510,loss
Liquid,10,Cloud9,16,trn,56.1,510,85,loss
Virtus.pro,2,NiP,16,trn,52.1,72,354,loss
NiP,16,Virtus.pro,11,nuke,77.2,354,72,win
FaZe,16,Astralis,10,nuke,62.8,444,1000,win
Astralis,16,FaZe,1,trn,63.6,1000,444,win
Immortals,16,CLG,13,mrg,,1000,444,win
CLG,4,Immortals,16,cbl,,1000,444,loss
Cloud9,8,SK,16,cbl,64.4,85,444,loss
SK,9,Cloud9,16,cch,,85,85,loss
FaZe,16,fnatic,11,trn,57.5,444,197,win
fnatic,19,FaZe,17,mrg,61.4,197,444,win
Liquid,10,SK,16,cbl,64,510,444,loss
SK,16,Liquid,12,mrg,,510,510,win
fnatic,14,G2,16,trn,58,197,67,loss
G2,16,fnatic,8,cbl,55.7,67,197,win
mousesports,7,Astralis,16,mrg,61.8,305,1000,loss
Astralis,20,mousesports,22,nuke,76,1000,305,loss
mousesports,17,fnatic,19,nuke,57.4,305,197,loss
fnatic,16,mousesports,10,trn,58,197,305,win
CLG,15,SK,19,cch,,197,305,loss
SK,16,CLG,10,ovp,,197,305,win
Astralis,8,fnatic,16,inf,72.5,1000,197,loss
fnatic,1,Astralis,16,trn,58,197,1000,loss
OpTic,17,Immortals,19,mrg,59.5,151,1000,loss
Immortals,10,OpTic,16,cbl,,151,151,loss
FaZe,16,G2,14,ovp,61.2,444,67,win
G2,5,FaZe,16,nuke,61.2,67,444,loss
OpTic,5,Cloud9,16,cbl,55.2,151,85,loss
Cloud9,4,OpTic,16,trn,67.6,85,151,loss
Misfits,16,CLG,13,cch,,85,151,win
SK,12,CLG,16,mrg,,85,151,loss
Misfits,13,Immortals,16,cch,,85,151,loss
CLG,16,SK,12,trn,,85,151,win
Natus Vincere,25,Heroic,22,cbl,53.6,569,110,win
FaZe,14,G2,16,cch,54.6,444,67,loss
NiP,16,HellRaisers,5,cch,60.1,354,161,win
fnatic,16,mousesports,6,mrg,61.4,197,305,win
Virtus.pro,7,North,16,cch,52.2,72,226,loss
Heroic,16,Natus Vincere,14,ovp,53.9,110,569,win
HellRaisers,14,NiP,16,trn,49,161,354,loss
mousesports,10,fnatic,16,cch,60.5,305,197,loss
North,16,Virtus.pro,6,inf,57,226,72,win
G2,16,FaZe,4,inf,50.8,67,444,win
Cloud9,11,Liquid,16,inf,53.4,85,510,loss
Liquid,16,Cloud9,5,trn,56.1,510,85,win
CLG,14,Cloud9,16,cch,,510,85,loss
Cloud9,16,CLG,13,mrg,62.4,85,85,win
mousesports,16,G2,13,trn,54.6,305,67,win
G2,16,mousesports,11,cbl,55.7,67,305,win
Virtus.pro,9,fnatic,16,mrg,60,72,197,loss
FaZe,19,HellRaisers,15,cch,54.6,444,161,win
fnatic,19,Virtus.pro,15,inf,67.2,197,72,win
HellRaisers,16,FaZe,14,trn,49,161,444,win
CLG,15,OpTic,19,mrg,,161,151,loss
Natus Vincere,3,mousesports,16,mrg,63.3,569,305,loss
Heroic,10,mousesports,16,cbl,53.4,110,305,loss
Immortals,12,Liquid,16,cbl,,110,510,loss
Liquid,16,Immortals,13,cbl,64,510,510,win
Virtus.pro,11,mousesports,16,ovp,51,72,305,loss
mousesports,18,Virtus.pro,22,trn,54.6,305,72,loss
FaZe,16,OpTic,6,trn,57.5,444,151,win
SK,16,Astralis,12,inf,,444,1000,win
North,16,FaZe,19,cch,52.4,226,444,loss
CLG,16,Liquid,4,cch,,226,510,win
Liquid,16,CLG,12,cbl,64,510,510,win
NiP,16,fnatic,14,cbl,57.8,354,197,win
fnatic,16,NiP,13,inf,67.2,197,354,win
mousesports,11,NiP,16,cbl,51.1,305,354,loss
NiP,11,mousesports,16,cch,60.1,354,305,loss
FaZe,7,Astralis,16,cbl,34.8,444,1000,loss
SK,16,North,14,cbl,,444,226,win
North,25,OpTic,23,inf,57,226,151,win
GODSENT,10,mousesports,16,cch,,226,305,loss
mousesports,11,GODSENT,16,mrg,61.8,305,305,loss
Immortals,16,Cloud9,7,inf,,305,85,win
HellRaisers,7,Gambit,16,nuke,50.9,161,85,loss
G2,10,Cloud9,16,cch,55.9,67,85,loss
Gambit,25,Heroic,23,trn,,67,110,win
Immortals,16,Liquid,11,inf,,67,510,win
mousesports,16,Natus Vincere,0,mrg,61.8,305,569,win
Natus Vincere,8,mousesports,16,nuke,46.7,569,305,loss
Liquid,9,Immortals,16,inf,63.7,510,305,loss
Immortals,3,Liquid,16,cbl,,510,510,loss
fnatic,16,Astralis,14,trn,58,197,1000,win
NiP,3,North,16,cbl,57.8,354,226,loss
Astralis,16,fnatic,6,inf,72.5,1000,197,win
North,16,NiP,1,cch,52.4,226,354,win
G2,10,Virtus.pro,16,inf,50.8,67,72,loss
FaZe,16,NiP,1,inf,62.3,444,354,win
Virtus.pro,13,G2,16,nuke,58.8,72,67,loss
NiP,13,FaZe,16,nuke,77.2,354,444,loss
FaZe,16,Virtus.pro,4,nuke,62.8,444,72,win
Virtus.pro,11,FaZe,16,inf,47.3,72,444,loss
HellRaisers,8,mousesports,16,cch,60,161,305,loss
Astralis,9,G2,16,cch,58.5,1000,67,loss
Virtus.pro,10,FaZe,16,inf,47.3,72,444,loss
mousesports,16,HellRaisers,12,mrg,61.8,305,161,win
G2,16,Astralis,12,trn,46.4,67,1000,win
FaZe,16,Virtus.pro,4,trn,57.5,444,72,win
North,16,Kinguin,5,inf,57,226,72,win
Kinguin,11,North,16,cbl,,226,226,loss
Heroic,16,Virtus.pro,9,trn,49.6,110,72,win
Virtus.pro,1,Heroic,16,nuke,58.8,72,110,loss
G2,13,Natus Vincere,16,ovp,51.8,67,569,loss
Natus Vincere,10,G2,16,nuke,46.7,569,67,loss
Astralis,12,NiP,16,cch,58.5,1000,354,loss
NiP,12,Astralis,16,inf,60.3,354,1000,loss
mousesports,19,FaZe,17,inf,48.8,305,444,win
FaZe,16,mousesports,10,ovp,61.2,444,305,win
OpTic,4,SK,16,ovp,59.3,151,305,loss
SK,15,OpTic,19,cch,,151,151,loss
Astralis,16,G2,12,trn,63.6,1000,67,win
G2,16,Astralis,6,nuke,61.2,67,1000,win
Immortals,13,Cloud9,16,cbl,,67,85,loss
Cloud9,6,Immortals,16,cch,61.6,85,85,loss
OpTic,16,CLG,11,trn,52.1,151,85,win
CLG,16,OpTic,13,cch,,151,151,win
Virtus.pro,16,Astralis,8,trn,52.1,72,1000,win
Astralis,16,Virtus.pro,9,inf,72.5,1000,72,win
OpTic,11,Liquid,16,cbl,55.2,151,510,loss
Liquid,16,OpTic,8,cbl,64,510,151,win
NiP,14,Astralis,16,cch,60.1,354,1000,loss
Astralis,14,NiP,16,trn,63.6,1000,354,loss
Liquid,16,SK,14,inf,63.7,510,354,win
SK,16,Liquid,9,mrg,,510,510,win
CLG,6,Immortals,16,ovp,,510,510,loss
Immortals,16,CLG,8,inf,,510,510,win
FaZe,25,North,22,mrg,62.8,444,226,win
mousesports,11,G2,16,nuke,57.4,305,67,loss
North,14,FaZe,16,cch,52.4,226,444,loss
G2,16,mousesports,10,cbl,55.7,67,305,win
fnatic,16,HellRaisers,14,cch,62.6,197,161,win
NiP,16,Virtus.pro,9,cbl,57.8,354,72,win
HellRaisers,10,fnatic,16,cbl,56.2,161,197,loss
Virtus.pro,16,NiP,6,nuke,58.8,72,354,win
